"m:0","m:1","m:2","Coordinates:0","Coordinates:1","Coordinates:2"
-0.06506,0.99787,0.0050653,100,-6000,-10
0.019091,0.99982,-0.00026542,122.12,-5981.4,-4.9995
-0.066507,0.99779,6.8864e-005,100,-6000,6.1941e-014
-0.018129,0.99984,0.00033135,111.28,-5973.7,-4.9998
0.064348,0.99793,-0.00019519,135,-6000,-10
-0.021268,0.99977,-0.0027854,100,-5950.3,6.1941e-014
-0.022653,0.99974,5.4778e-005,100,-5950.3,-10
0.0011919,0.99999,0.003467,117.5,-5975.2,-10
0.0012838,0.99999,-0.0031392,117.5,-5975.2,5.8726e-014
0.062341,0.99805,-0.003402,135,-6000,5.5511e-014
0.0002539,1,-0.00015462,117.61,-5959.4,-5.0002
0.02187,0.99976,0.0024457,135,-5950.3,-10
0.021977,0.99976,-0.0011986,135,-5950.3,5.5511e-014
0.00011037,1,-0.00030716,117.63,-5941.2,-4.9998
-0.00061161,1,-6.8124e-005,117.5,-5925.7,-10
-0.0045027,0.99999,-0.00043346,111.31,-5926.8,-4.9997
-0.00074305,1,-0.00015829,117.5,-5925.7,5.8726e-014
-0.00020954,1,0.00011916,122.01,-5918.5,-5.0013
0.0014713,1,0.00046464,100,-5901,-10
0.0010064,1,-0.00014958,100,-5901,6.1941e-014
-0.0012082,1,0.00071763,135,-5901,-10
-0.00054977,1,0.00026214,135,-5901,5.5511e-014
-6.1435e-005,1,0.0002683,121.94,-5883.5,-4.9849
1.7301e-005,1,-2.1495e-005,117.5,-5876.6,-10
-2.4945e-005,1,0.00027125,117.5,-5876.6,5.8726e-014
-0.00013585,1,4.5324e-005,111.19,-5875.4,-4.9891
0.0010097,1,0.00018087,135,-5852.1,-10
0.0009597,1,0.0002044,135,-5852.1,5.5511e-014
1.5263e-005,1,-2.2015e-005,117.09,-5860,-5.2217
-0.00090646,1,-0.0003465,100,-5852.1,6.1941e-014
-0.00083388,1,-0.00020801,100,-5852.1,-10
-0.00032056,1,-0.00010179,110.33,-5836.7,-5.5649
0.00022693,1,4.1995e-006,121.1,-5841.3,-3.5757
-4.9356e-006,1,-1.7453e-005,117.5,-5827.8,-10
4.729e-006,1,-1.1169e-005,117.5,-5827.8,5.8726e-014
-2.6608e-006,1,1.47e-006,123.36,-5817.1,-5.125
1.4683e-005,1,-5.8493e-005,100,-5803.5,6.1941e-014
-2.9312e-006,1,-1.2343e-005,100,-5803.5,-10
-2.6572e-005,1,-2.2427e-005,113.29,-5819.8,-4.9951
3.1394e-006,1,2.8196e-005,135,-5803.5,-10
1.3559e-005,1,-1.3598e-005,135,-5803.5,5.5511e-014
1.5132e-005,1,-2.2553e-005,113.08,-5786.4,-4.994
6.2962e-005,1,-9.2588e-006,123.79,-5778.3,-5.0005
0.0001202,1,-1.5228e-005,135,-5755.3,5.5511e-014
3.1502e-005,1,-7.3335e-006,117.5,-5779.4,5.8726e-014
0.00011845,1,2.8247e-006,135,-5755.3,-10
3.3662e-005,1,-2.3781e-005,117.5,-5779.4,-10
2.4666e-005,1,-1.1256e-005,117.43,-5764.2,-5.0008
-8.1959e-005,1,-1.054e-005,100,-5755.3,-10
-7.9176e-005,1,-1.5532e-005,100,-5755.3,6.1941e-014
1.7455e-005,1,-7.1642e-006,117.42,-5746.4,-5.0001
4.3586e-005,1,3.449e-006,123.81,-5732.5,-5
1.893e-005,1,-5.0232e-006,117.5,-5731.3,5.8726e-014
1.855e-005,1,-2.2026e-006,117.5,-5731.3,-10
2.8747e-005,1,4.1546e-005,135,-5707.4,-10
9.4604e-006,1,-9.8152e-006,113,-5724.5,-4.9993
3.1499e-005,1,3.2777e-005,135,-5707.4,5.5511e-014
-1.2532e-006,1,-3.0446e-005,100,-5707.4,6.1941e-014
-3.1779e-006,1,-3.0599e-005,100,-5707.4,-10
1.6164e-005,1,1.9812e-006,117.19,-5699.3,-4.9999
1.9623e-005,1,-1.0809e-005,117.5,-5683.6,-10
2.1157e-005,1,1.6611e-005,123.77,-5684.8,-5.0002
2.1273e-005,1,5.3599e-006,117.5,-5683.6,5.8726e-014
2.2425e-005,1,-2.1916e-005,112.95,-5676.7,-5.0008
-2.4552e-006,1,3.5585e-005,135,-5659.9,5.5511e-014
-6.1831e-006,1,5.1286e-005,135,-5659.9,-10
3.5277e-005,1,-6.525e-005,100,-5659.9,-10
4.0479e-005,1,-7.902e-005,100,-5659.9,6.1941e-014
2.6892e-005,1,-3.7265e-005,112.95,-5643.3,-5.001
2.2617e-005,1,-1.7857e-005,117.5,-5636.3,5.8726e-014
2.2156e-005,1,-3.6046e-005,117.5,-5636.3,-10
1.5428e-005,1,-1.5615e-005,123.8,-5635.1,-5.0001
1.7289e-005,1,-8.7968e-006,100,-5612.7,6.1941e-014
1.8698e-005,1,-1.1698e-005,100,-5612.7,-10
2.0347e-005,1,-2.2775e-005,117.2,-5620.8,-4.9998
1.7925e-005,1,-2.6999e-005,135,-5612.7,-10
1.7198e-005,1,-3.2457e-005,135,-5612.7,5.5511e-014
1.6137e-005,1,-7.1856e-006,113,-5595.9,-4.9993
1.8785e-005,1,-7.5418e-006,117.5,-5589.3,5.8726e-014
1.9177e-005,1,-5.5707e-006,117.5,-5589.3,-10
-1.0496e-005,1,1.5955e-006,100,-5565.9,-10
-1.0027e-005,1,-1.8948e-006,100,-5565.9,6.1941e-014
2.7474e-005,1,-1.1415e-005,123.88,-5588,-4.9998
1.7879e-005,1,-4.9766e-006,117.37,-5573.5,-5.0001
4.6564e-005,1,-1.203e-005,135,-5565.9,5.5511e-014
4.6958e-005,1,-9.1311e-006,135,-5565.9,-10
1.8938e-005,1,-1.0424e-005,117.49,-5542.7,-4.9998
1.8993e-005,1,-9.1084e-006,117.5,-5542.6,-10
9.4061e-006,1,-1.8332e-005,100,-5519.4,-10
1.8902e-005,1,-1.0857e-005,117.5,-5542.6,5.8726e-014
3.0318e-005,1,-1.8551e-005,135,-5519.4,-10
9.4357e-006,1,-2.1213e-005,100,-5519.4,6.1941e-014
2.9473e-005,1,-2.2191e-005,135,-5519.4,5.5511e-014
1.9765e-005,1,-2.0819e-005,117.37,-5512,-5.0002
1.7299e-005,1,-1.9034e-005,113,-5489.7,-4.9992
2.0256e-005,1,-1.9231e-005,117.5,-5496.3,-10
2.0118e-005,1,-1.778e-005,117.5,-5496.3,5.8726e-014
1.1135e-005,1,-1.9451e-005,100,-5473.3,6.1941e-014
2.4334e-005,1,-1.8673e-005,123.93,-5497.6,-5
8.3875e-006,1,-1.8578e-005,100,-5473.3,-10
3.0318e-005,1,-1.6401e-005,135,-5473.3,-10
3.1477e-005,1,-2.0057e-005,135,-5473.3,5.5511e-014
2.0737e-005,1,-1.5624e-005,117.44,-5465.1,-4.9971
5.0552e-006,1,-5.119e-006,111.06,-5450.9,-4.9985
2.236e-005,1,-1.4611e-005,117.5,-5450.4,5.8726e-014
2.2774e-005,1,-6.1362e-006,117.5,-5450.4,-10
4.0242e-005,1,-1.8383e-005,121.59,-5441.7,-5.0154
-5.0058e-005,1,2.0334e-005,100,-5427.5,-10
-5.1918e-005,1,1.9169e-005,100,-5427.5,6.1941e-014
9.1018e-005,1,-4.3729e-005,135,-5427.5,5.5511e-014
9.5241e-005,1,-4.2674e-005,135,-5427.5,-10
-1.0651e-005,1,-1.4091e-006,111.11,-5411.1,-4.2254
5.2879e-005,1,-2.3081e-005,124.04,-5410.6,-5.7466
1.936e-005,1,-2.1264e-005,117.5,-5404.7,5.8726e-014
-4.3762e-005,1,-2.2791e-006,100,-5382,6.1941e-014
-4.2927e-005,1,2.5564e-006,100,-5382,-10
2.2322e-005,1,-2.6552e-006,117.5,-5404.7,-10
2.087e-005,1,-1.3284e-005,117.28,-5390.7,-5.0086
8.8324e-005,1,-2.6054e-005,135,-5382,-10
8.6929e-005,1,-3.0387e-005,135,-5382,5.5511e-014
-1.3538e-006,1,-7.5577e-006,111.31,-5366.3,-5.0007
4.6407e-006,1,-1.0928e-005,100,-5336.9,6.1941e-014
2.0117e-005,1,-1.4261e-005,117.5,-5359.4,5.8726e-014
2.7125e-006,1,-8.4892e-006,100,-5336.9,-10
2.0541e-005,1,-8.8392e-006,117.5,-5359.4,-10
1.3736e-005,1,-1.0963e-005,112.58,-5349.2,-4.9998
3.3355e-005,1,-1.5845e-005,123.53,-5356.4,-5.0006
