"velocity_vectors:0","velocity_vectors:1","velocity_vectors:2","another_vector_set:0","another_vector_set:1","another_vector_set:2","EinLustigerSkalar","Points:0","Points:1","Points:2"
-0.30142,0.068638,0.95102,-3.0142,0.13728,0.95102,1,3.5e-008,6.5e-008,5e-009
-0.20246,-0.14717,0.96817,-2.0246,-0.29434,0.96817,1,3.5e-008,7.5e-008,5e-009
-0.67162,0.65118,0.35339,-6.7162,1.3024,0.35339,1,4.5e-008,7.5e-008,5e-009
-0.71143,0.6223,0.3265,-7.1143,1.2446,0.3265,1,4.5e-008,6.5e-008,5e-009
-0.86555,-0.50082,0.00218,-8.6555,-1.0016,0.00218,1,3.5e-008,6.5e-008,1.5e-008
0.392,-0.85877,0.32992,3.92,-1.7175,0.32992,1,3.5e-008,7.5e-008,1.5e-008
-0.64956,0.56102,0.51315,-6.4956,1.122,0.51315,1,4.5e-008,7.5e-008,1.5e-008
-0.7183,0.54171,0.43657,-7.183,1.0834,0.43657,1,4.5e-008,6.5e-008,1.5e-008
-0.40883,0.7447,0.52752,-4.0883,1.4894,0.52752,1,3.5e-008,8.5e-008,5e-009
-0.64131,0.61413,0.45997,-6.4131,1.2283,0.45997,1,4.5e-008,8.5e-008,5e-009
-0.37445,0.58544,0.71906,-3.7445,1.1709,0.71906,1,3.5e-008,8.5e-008,1.5e-008
-0.56989,0.50103,0.6513,-5.6989,1.0021,0.6513,1,4.5e-008,8.5e-008,1.5e-008
-0.19086,0.74023,0.64469,-1.9086,1.4805,0.64469,1,3.5e-008,9.5e-008,5e-009
-0.62271,0.45726,0.63493,-6.2271,0.91452,0.63493,1,4.5e-008,9.5e-008,5e-009
0.53957,0.44144,0.71694,5.3957,0.88287,0.71694,1,3.5e-008,9.5e-008,1.5e-008
-0.47749,0.35174,0.80516,-4.7749,0.70349,0.80516,1,4.5e-008,9.5e-008,1.5e-008
0.16649,-0.19856,-0.96584,1.6649,-0.39712,-0.96584,1,4.5e-008,5.5e-008,5e-009
